Post Name,Legality,Category,Our Category,Seller,Description,Shipping From
25 x Packs THC Gummie Bears 400mg EACH PACK,Depends,Edibles,Soft Drugs,THETHCDOCTOR1,,GB
(14G) HQ Morrocan Dry Sift Hash [Peyote Gorilla],Illegal,Hash,Soft Drugs,Hash2GO,more then the allowed 5 gram,FR
Zkittlez Blonde Ice-olator Hash Morrocan Import,Illegal,Hash,Soft Drugs,BarNarcotikz,,EU
1mL Potent DMT Cart,Illegal,DMT,Hard Drugs,DeemsTeam,,EU
1x Feminized seed or autoflower seed of choise,Depends,Seeds,Soft Drugs,greenpirate,,EU
Benzocaine 1001 g Medical Purity 99.7%,Legal,Prescription,Medication,psychonauta02,"There is no record of this substance being found illegal, it is used in medication.",EU
12.5g Shark Hash,Illegal,Hash,Soft Drugs,SharkHash,,ESP
14g Green Poison £81.2,Illegal,Buds & Flowers,Soft Drugs,maurelius,above the maximum amount of 5 grams.,ES
500g Jack 47 (Jack Herer X AK-47 strains) 2450 pounds,Illegal,Buds & Flowers,Soft Drugs,maurelius,"500g is a lot, even cofee shops areer not allowed to possess more than 500g on the daily, and they can not sell more than 5 to peopple, making this offer illegal",ES
Crystal Meth Pure And Clean !! Free GoodieBag !!,Illegal,Meth,Hard Drugs,ChemicPirates,,DE
Speed Amphetamine paste *50 Grams* DoctorXXL Top Quality!,Illegal ,Speed,Hard Drugs,DoctorXXL,,DE
Bubble Gum - Dry Sift Hash ~40% THC,Depends,Hash,Soft Drugs,queenofcannabis,"Depends on how much, if it is more than 5g, then illegal, if less then legal.",DE
100G SPEED APHETAMIN PASTE ,Illegal,Speed,Hard Drugs,speedexpressgerm,,DE
Heroin uncut CH-WW,Illegal,Heroin,Hard Drugs,mrwhiteog,,CH
7g - Mexican Meth (Free Xpresspost),Illegal,Meth,Hard Drugs,CanadianLegend,,CA
1000 xanax2 4mg or mix&match ,Depends,Pills,Prescription Medication,xanaxbenzocanada,Depends because it is legal for consumption but a prescription is needed ,CA
100 ug WoW (White on White) LSD Tab (Bliss 5.0 LSD Crystal),Illegal,LSD,Hard Drugs,aussietrips,,ASTL
